stop_id,naive_station_name,name,inbound_sequence,lines,segment,station_type,is_accessible,is_transfer,is_parking,parking_capacity,platforms,connected_buses,stop_lat,stop_lon,location_type,parent_station
40580,54th/Cermak,54th/Cermak,1,pink,Cermak,elevated,TRUE,FALSE,TRUE,441,"30113, 30114",,41.85177331,-87.75669201,,1
40420,Cicero,Cicero (Pink),2,pink,Cermak,elevated,TRUE,FALSE,FALSE,0,"30082, 30083",,41.85182,-87.745336,,1
40600,Kostner,Kostner,3,pink,Cermak,elevated,TRUE,FALSE,FALSE,0,"30117, 30118",,41.853751,-87.733258,,1
40150,Pulaski,Pulaski (Pink),4,pink,Cermak,elevated,TRUE,FALSE,FALSE,0,"30028, 30029",,41.853732,-87.724311,,1
40780,Central Park,Central Park,5,pink,Cermak,elevated,TRUE,FALSE,FALSE,0,"30151, 30152",,41.853839,-87.714842,,1
41040,Kedzie,Kedzie (Pink),6,pink,Cermak,elevated,TRUE,FALSE,FALSE,0,"30201, 30202",,41.853964,-87.705408,,1
40440,California,California (Pink),7,pink,Cermak,elevated,TRUE,FALSE,FALSE,0,"30086, 30087",,41.854109,-87.694774,,1
40740,Western,Western (Pink),8,pink,Cermak,elevated,TRUE,FALSE,FALSE,0,"30143, 30144",,41.854225,-87.685129,,1
40210,Damen,Damen (Pink),9,pink,Cermak,elevated,TRUE,FALSE,FALSE,0,"30040, 30041",,41.854517,-87.675975,,1
40830,18th,18th,10,pink,Ashland,elevated,TRUE,FALSE,FALSE,0,"30161, 30162",,41.857908,-87.669147,,1
41030,Polk,Polk,11,pink,Ashland,elevated,TRUE,FALSE,FALSE,0,"30199, 30200",,41.871551,-87.66953,,1
40170,Ashland,Ashland (Green/Pink),12,"green, pink",Lake Elevated,elevated,TRUE,TRUE,FALSE,0,"30032, 30033",,41.885269,-87.666969,,1
41510,Morgan,Morgan (Green/Pink),13,"green, pink",Lake Elevated,elevated,TRUE,TRUE,FALSE,0,"30295, 30296",,41.88557676,-87.65212993,,1
41160,Clinton,Clinton (Green/Pink),14,"green, pink",Lake Elevated,elevated,TRUE,TRUE,FALSE,0,"30221, 30222",,41.885678,-87.641782,,1
40380,Clark/Lake,Clark/Lake,15,"blue, brown, green, orange, pink, purple",Main Loop,elevated,TRUE,TRUE,FALSE,0,"30374, 30375, 30074, 30075",,41.885737,-87.630886,,1
41700,Washington/Wabash,Washington/Wabash,16,"brown, green, orange, pink, purple",Main Loop,elevated,TRUE,TRUE,FALSE,0,"30383, 30384",,41.88322,-87.626189,,1
40680,Adams/Wabash,Adams/Wabash,17,"brown, green, orange, pink, purple",Main Loop,elevated,FALSE,TRUE,FALSE,0,"30131, 30132",,41.879507,-87.626037,,2
40850,H W Library,Harold Washington Library-State/Van Buren,18,"brown, orange, pink, purple",Main Loop,elevated,TRUE,TRUE,FALSE,0,"30165, 30166",,41.876862,-87.628196,,1
40160,LaSalle/Van Buren,LaSalle/Van Buren,19,"brown, orange, pink, purple",Main Loop,elevated,FALSE,TRUE,FALSE,0,"30030, 30031",,41.8768,-87.631739,,2
40040,Quincy,Quincy,20,"brown, orange, pink, purple",Main Loop,elevated,TRUE,TRUE,FALSE,0,"30007, 30008",,41.878723,-87.63374,,1
40730,Washington/Wells,Washington/Wells,21,"brown, orange, pink, purple",Main Loop,elevated,TRUE,TRUE,FALSE,0,"30141, 30142",,41.882695,-87.63378,,1
